time,altitude
1, 992
2, 978
3, 970
4, 958
5, 953
6, 939
7, 930
8, 921
9, 906
10, 897
11, 882
12, 867
13, 860
14, 852
15, 844
16, 830
17, 820
18, 806
19, 792
20, 784
21, 778
22, 772
23, 773
24, 774
25, 772
26, 774
27, 770
28, 766
29, 763
30, 762
31, 756
32, 748
33, 741
34, 733
35, 730
36, 723
37, 721
38, 717
39, 710
40, 703
41, 697
42, 692
43, 688
44, 690
45, 683
46, 680
47, 675
48, 668
49, 661
50, 661
51, 655
52, 649
53, 647
54, 649
55, 641
56, 633
57, 627
58, 627
59, 627
60, 629
61, 621
62, 615
63, 617
64, 615
65, 616
66, 610
67, 610
68, 605
69, 597
70, 598
71, 600
72, 596
73, 591
74, 583
75, 576
76, 569
77, 562
78, 560
79, 556
80, 557
81, 558
82, 557
83, 552
84, 550
85, 544
86, 537
87, 535
88, 532
89, 524
90, 519
91, 518
92, 517
93, 510
94, 512
95, 504
96, 496
97, 490
98, 492
99, 490
100, 490
101, 483
102, 485
103, 485
104, 479
105, 473
106, 474
107, 474
108, 470
109, 472
110, 467
111, 468
112, 464
113, 461
114, 460
115, 462
116, 463
117, 462
118, 463
119, 464
120, 459
121, 458
122, 454
123, 450
124, 442
125, 438
126, 430
127, 430
128, 428
129, 423
130, 420
131, 416
132, 413
133, 411
134, 403
135, 399
136, 392
137, 394
138, 394
139, 393
140, 392
141, 386
142, 382
143, 376
144, 375
145, 369
146, 361
147, 359
148, 352
149, 345
150, 340
151, 334
152, 332
153, 334
154, 333
155, 335
156, 330
157, 331
158, 330
159, 322
160, 320
161, 312
162, 314
163, 315
164, 309
165, 302
166, 301
167, 303
168, 297
169, 296
170, 290
171, 287
172, 289
173, 286
174, 288
175, 284
176, 277
177, 277
178, 273
179, 272
180, 265
181, 262
182, 264
183, 265
184, 257
185, 255
186, 247
187, 241
188, 243
189, 236
190, 233
191, 228
192, 228
193, 221
194, 222
195, 216
196, 208
197, 205
198, 201
199, 198
200, 191
201, 185
202, 182
203, 175
204, 172
205, 165
206, 166
207, 159
208, 155
209, 149
210, 142
211, 135
212, 130
213, 127
214, 123
215, 123
216, 123
217, 125
218, 118
219, 119
220, 114
221, 110
222, 106
223, 101
224, 102
225, 97
226, 91
227, 91
228, 83
229, 81
230, 75
231, 77
232, 71
233, 69
234, 68
235, 69
236, 63
237, 62
238, 64
239, 57
240, 49
241, 47
242, 41
243, 34
244, 32
245, 34
246, 26
247, 22
248, 19
249, 21
250, 19
251, 13
252, 10
253, 3
